Feature,Mean,Std,Min,Max,Median
word_count,1719.0681818181818,1476.2873514598498,4.0,5321.0,1381.0
char_count,10985.386363636364,9220.242967630264,27.0,32687.0,8684.0
sentence_count,109.6590909090909,92.84444183983058,1.0,332.0,79.0
avg_sentence_length,15.95730011598783,4.640557801783304,4.0,29.2,15.4142797841428
type_token_ratio,0.5609498734515074,0.13440407950037458,0.32951653944020354,1.0,0.5318306462501106
hapax_ratio,0.7297613315266752,0.07403399199395097,0.5900332225913621,1.0,0.7206939934374947
yule_k,51.09405617852779,23.98540356180294,0.0,135.1097186760072,47.66407944298917
mattr_50,0.8616553571437866,0.040978469164886705,0.7714285714285716,1.0,0.8574040971568415
passive_markers_per_1000,6.019701826622041,5.2179069261045,0.0,19.347037484885124,4.637338330619643
passive_sentence_ratio,0.09263443022201416,0.08470356391012898,0.0,0.4,0.06961259079903148
english_glosses_per_1000,17.372839934484873,11.564046449092638,0.0,49.00568181818181,16.183392509760708
latin_token_ratio,0.04011456562597394,0.029662049551311128,0.0,0.12073863636363637,0.03446868736957375
colon_per_1000,11.988258773186043,36.94768121444278,0.984251968503937,250.0,6.508735004528779
semicolon_per_1000,4.482154795658533,5.831151235799985,0.0,30.57757644394111,3.222782686152858
parentheses_per_1000,52.26682331656055,31.99920911404146,0.0,114.63046757164403,49.35301391669115
visvakosh_markers_per_1000,14.868130362833972,36.91394931100667,0.0,250.0,9.071621263837308
wikipedia_markers_per_1000,0.0358133229365907,0.14392553772101274,0.0,0.727802037845706,0.0
definition_markers_per_1000,2.6468368292276794,3.001208011095396,0.0,13.698630136986301,1.9804118629631629
colon_in_first_200,0.8409090909090909,0.36998942902446824,0.0,1.0,1.0
traditional_translit_ratio,0.0032881094972755254,0.0028761358775530716,0.0,0.013218188227000353,0.0024753257247356383
avg_word_length,5.28356584104513,0.30354886904185224,4.832452664024658,5.849079025549614,5.200102599646019
unique_char_bigrams,1022.9318181818181,412.376571962562,26.0,1946.0,1051.5
unique_word_bigrams,1503.090909090909,1227.2808063315633,3.0,4583.0,1220.5
